page_title,text_content
Présentation – FST,"LA FACULTÉ
I- PRESENTATION DE LA FST DE TANGER & DIAGNOSIQUE
La Faculté des Sciences et Techniques de Tanger (FSTT), relevant de l’Université Abdelmalek Essaâdi a été créée en 1995. Elle fait partie des établissements de l’enseignement supérieur à accès régulé et a pour missions la formation initiale dans les domaines scientifiques et techniques, la formation continue ainsi que la recherche et le développement dans les domaines des sciences et techniques.
Formation Initiale
La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants :
DEUST : Diplôme d’Etudes Universitaire en Sciences et Techniques (Bac +2).
LST : Diplôme de Licence en Sciences et Techniques (Bac +3)
MST : Diplôme de Master en Sciences et Techniques (Bac +5)
DI : Diplôme d’Ingénieur d’État (Bac +5)
Doctorat en Sciences et Techniques (Bac +8)
La FST de Tanger propose une panoplie de formation riches et diversifiées répondant aux divers besoins du monde socio-économique (12 filières LST, 13 filières MST, 4 filières Ingénieurs)
Formation continue
Les programmes de la formation continue sont destinés aux professionnels qui souhaitent acquérir des nouvelles compétences ou approfondir leurs connaissances dans leur domaine d’activité.
Les formations proposées couvrent des programmes variés dans les domaines des sciences et de la technologie tels que :
Les sciences de l’ingénierie de l’Informatique- Civil –Mécanique-Electrotechnique – Industrielle et autres.
Recherche scientifique
La recherche scientifique à la FST de Tanger est structurée autour de
7
laboratoires,
11
équipes de recherche, 2 centres (CDI : Centre de Développement et de l’Innovation et le CFA : Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement. Les thématiques de recherches développées par ces structures concernent :
L’agro-alimentaire, la biotechnologie, Biologie et santé
L’Énergie et l’Efficacité Énergétique
L’Eau et l’Environnement
Les Matériaux et les Nanomatériaux
Les Mathématiques et Informatique
Autres
Fablab Green Lab
Le Green Lab est un FabLab a été créé pour encourager l’innovation, la créativité et l’esprit d’entreprise chez les étudiants et les membres de la communauté locale.
Le Green Lab est équipé d’une variété d’outils et de technologies, tels que des imprimantes 3D, des machines de découpe laser, des fraiseuses CNC et des équipements électroniques. Ces outils permettent aux membres du laboratoire de concevoir, prototyper et fabriquer une grande variété de projets, allant de petits gadgets électroniques aux prototypes de produits commerciaux.
Le laboratoire est également axé sur la durabilité et l’environnement, avec une forte emphase sur les projets qui utilisent des matériaux recyclés ou respectueux de l’environnement. Les Etudiants du Green Lab travaillent sur des projets qui abordent des problèmes environnementaux tels que la pollution de l’eau, la gestion des déchets, la durabilité des ressources naturelles et l’agriculture urbaine.
Le Green Lab est ouvert aux étudiants de tous les départements de la Faculté des Sciences et Techniques de Tanger, ainsi qu’aux membres de la communauté locale qui souhaitent utiliser les installations. Il offre également des ateliers de formation sur les compétences techniques, la conception de produits et l’entrepreneuriat.
Les clubs des Etudiants
Les clubs des étudiants peuvent apporter une valeur ajoutée significative à la vie universitaire. Tout d’abord, les clubs offrent une occasion aux étudiants de s’engager dans des activités qui les passionnent et de rencontrer des personnes partageant les mêmes intérêts.
De plus, les clubs peuvent aider à renforcer les compétences de leadership et à développer des compétences professionnelles, ce qui peut être bénéfique pour les futurs parcours professionnels des étudiants."
Mot du Doyen – FST,"Le monde d’aujourd’hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l’intensification de la concurrence. Le Maroc n’échappe pas à cette tendance. Il est confronté à des enjeux de développement et de croissance basés essentiellement sur le capital humain. D’où la nécessité, pour le Maroc, de se doter d’un système d’éducation et de formation performant productif de savoir et innovateur afin de produire des compétences et des profils qualifiés, une jeunesse en mesure de répondre au besoin du marché et de prendre en charge tant les entreprises des divers secteurs de l’économie que les organismes investis de missions de service public, de même que les chercheurs et les intellectuels indispensables au développement d’une société du savoir et d’économie.
Notre projet de développement de la FST de Tanger est conscient du rôle que doit jouer cette dernière dans le développement socio-économique régional et national où elle ne doit plus se contenter d’assurer seulement ses missions classiques de formations générales scientifiques et techniques. Elle doit aussi étendre son rôle à l’éducation citoyenne par la formation de nouvelles générations de cadre, conscients de leurs responsabilités en tant que vecteurs de développement social et économique du Royaume, et entièrement acquis aux valeurs sacrées de notre pays et aux valeurs universelles humaines de droiture, d’intégrité, d’ouverture, de tolérance…
Partant des orientations du Nouveau Modèle de Développement, de la stratégie nationale 2015-2030 et du projet de développement de l’université, notre ambition pour cet établissement est d’en faire une institution attractive, performante, citoyenne et une locomotive du développement socio-économique de la région Tanger Tétouan Al Hoceima.
Concrètement notre projet de développement de l’établissement a pour objectifs principaux :
– Développer une offre de formation innovante, diversifiée et qui répond aux attentes des étudiants et aux besoins du secteur socio-économique.
– Développer une recherche scientifique d’excellence alignée sur les thématiques prioritaires de développement économique, ancrée dans son territoire et ouverte à l’internationale.
– Améliorer la gouvernance de l’établissement.
– Développer la digitalisation des différentes activités de l’établissement (enseignement, recherche et gestion administrative).
– Améliorer les conditions d’accueil, d’intégration, et d’accompagnement des étudiants
– Développer davantage la mobilité internationale des étudiants et du personnel académique et administratif.
– Améliorer l’employabilité des lauréats.
Enfin, la FST de Tanger, mérite toute notre engagement et nous mettrons toute notre énergie, notre expérience, notre volonté d’agir et notre temps à son service, pour qu’elle soit un établissement d’excellence ouvert sur son environnement socio-économique et visible à l’échelle nationale et internationale."
Conseil de l’établissement – FST,"La Faculté est gérée par un conseil d’établissement présidé par le Doyen. Le conseil de l’établissement comprend des membres de droit, des représentants élus des personnels enseignants et des personnels administratifs et techniques, des représentants élus des étudiants, ainsi que des membres désignés parmi des personnalités extérieures.
Nom & Prénom
Responsabilité
DIANI Mustapha
Doyen
JBILOU Mohammed
Vice Doyen de la Formation
OUARDOUZ Mustapha
Vice Doyen de la Recherche et de la coopération
BIHRI Hassan
SG chargé du secrétariat du conseil
AJDOUR Mounia
Chef du département de Physique
CHABBI Mohamed
Chef du département de Génie Chimique
EL HALIMI Rachid
Chef du département des Mathématiques
EL BRAK Mohamed
Chef du département de Génie Informatique
BOULAASSAL Hakim
Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim
Chef du département de Génie Électrique
ELAYACHI Ilham
Chef du département de Génie Mécanique
OUCHEN Mohamed
Chef du département de Langue et Communication
HASSANI ZERROUK Mounir
Chef du département des Sciences de la Vie
AOUNI Abdesamad
Représentant des P.E.S
BOUASSAB Abderrahman
Représentant des P.E.S
EL METOUI Mustapha
Représentant des P.E.S
EN-NAIMI El Mokhtar
Représentant des P.E.S
DERFOUFI Soufiane
Représentant des P.H
EL MERZGUIOUI Mhamed
Représentant des P.H
JEBARI HASSANI Khalid
Représentant des P.H
ZANOUNI Mohamed
Représentant des P.H
BOUAYAD Nouredin
Représentant des P.A
BOUZID Saida
Représentant des P.A
FIKRI BENBRAHIM Chahinaze
Représentant des P.A
KHALI ISSA  Sanae
Représentant des P.A
EL MAMOUN Abdellah
Représentant  des Personnels Administratifs et Techniques
MAAREF  Abdelkader
Représentant  des Personnels Administratifs et Techniques
EZ-ZHAR EL IDRISSI Mohammed Yassine
Représentant des étudiants
JAYED Youssef
Représentant des étudiants"
Commission Scientifique – FST,"Membres de la Commission Scientifique émanant du conseil de l’établissement
Membre
Responsabilité
DIANI Mustapha
Doyen
OUARDOUZ Mustapha
Vice Doyen de la Recherche et de la coopération
JBILOU Mohammed
Vice Doyen de la Formation
ARHRIB Abdesslam
P.E.S
EL HARZLI Mohamed
P.E.S
EN-NAIMI El Mokhtar
P.E.S
ROSSI Abdelhamid
P.E.S
AMHARREF Mina
P.E.S (Désignée)
CHAFIK Tarik
P.E.S (Désigné)
AJDOUR Mounia
Chef du département de Physique
CHABBI Mohamed
Chef du département de Génie Chimique
EL HALIMI Rachid
Chef du département des Mathématiques
EL BRAK Mohamed
Chef du département de Génie Informatique
BOULAASSAL Hakim
Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim
Chef du département de Génie Électrique
ELAYACHI Ilham
Chef du département de Génie Mécanique
OUCHEN Mohamed
Chef du département de Langue et Communication
HASSANI ZERROUK Mounir
Chef du département des Sciences de la Vie"
Commission de la Recherche Scientifique et de Coopération – FST,"Commission de la Recherche Scientifique et de Coopération émanant
du conseil de l’établissement
Membre
Responsabilité
DIANI Mustapha
Doyen
OUARDOUZ Mustapha
Vice Doyen de la Recherche et de la coopération
JBILOU Mohammed
Vice Doyen de la Formation
AJDOUR Mounia
Chef du département de Physique
CHABBI Mohamed
Chef du département de Génie Chimique
EL HALIMI Rachid
Chef du département des Mathématiques
EL BRAK Mohamed
Chef du département de Génie Informatique
BOULAASSAL Hakim
Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim
Chef du département de Génie Électrique
ELAYACHI Ilham
Chef du département de Génie Mécanique
OUCHEN Mohamed
Chef du département de Langue et Communication
HASSANI ZERROUK Mounir
Chef du département des Sciences de la Vie
AOUNI Abdesamad
Représentant des P.E.S
EL METOUI Mustapha
Représentant des P.E.S
EN-NAIMI El Mokhtar
Représentant des P.E.S
EL MERZGUIOUI Mhamed
Représentant des P.H
JEBARI HASSANI Khalid
Représentant des P.H
ZANOUNI Mohamed
Représentant des P.H
BOUZID Saida
Représentant des P.A
FIKRI BENBRAHIM Chahinaze
Représentant des P.A
KHALI ISSA Sanae
Représentant des P.A"
Commission Pédagogique – FST,"Membres de la commission pédagogique émanant du conseil de l’établissement
Membre
Responsabilité
DIANI Mustapha
Doyen
JBILOU Mohammed
Vice Doyen de la Formation
OUARDOUZ Mustapha
Vice Doyen de la Recherche et de la coopération
AJDOUR Mounia
Chef du département de Physique
CHABBI Mohamed
Chef du département de Génie Chimique
EL HALIMI Rachid
Chef du département des Mathématiques
BOULAASSAL Hakim
Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim
Chef du département de Génie Électrique
ELAYACHI Ilham
Chef du département de Génie Mécanique
OUCHEN Mohamed
Chef du département de Langue et Communication
HASSANI ZERROUK Mounir
Chef du département des Sciences de la Vie
EL BRAK Mohamed
Chef du département de Génie Informatique
BOUASSAB Abderrahman
Représentant des P.E.S
EL METOUI Mustapha
Représentant des P.E.S
EN-NAIMI El Mokhtar
Représentant des P.E.S
DERFOUFI Soufiane
Représentant des P.H
EL MERZGUIOUI Mhamed
Représentant des P.H
JEBARI HASSANI Khalid
Représentant des P.H
ZANOUNI Mohamed
Représentant des P.H
BOUZID Saida
Représentant des P.A
FIKRI BENBRAHIM Chahinaze
Représentant des P.A
KHALI ISSA Sanae
Représentant des P.A
JAYED Youssef
Représentant des étudiants"
Commission d’Activités Culturelles et Sportives – FST,"Commission d'Activités Culturelles et Sportives émanant  

du conseil de l’établissement
Membre
Responsabilité
DIANI Mustapha
Doyen
JBILOU Mohammed
Vice Doyen de la Formation
OUARDOUZ Mustapha
Vice Doyen de la Recherche et de la coopération
AJDOUR Mounia
Chef du département de Physique
CHABBI Mohamed
Chef du département de Génie Chimique
EL HALIMI Rachid
Chef du département des Mathématiques
EL BRAK Mohamed
Chef du département de Génie Informatique
BOULAASSAL Hakim
Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim
Chef du département de Génie Électrique
ELAYACHI Ilham
Chef du département de Génie Mécanique
OUCHEN Mohamed
Chef du département de Langue et Communication
HASSANI ZERROUK Mounir
Chef du département des Sciences de la Vie
JAYED Youssef
Représentant des étudiants"
Commission de suivi du budget – FST,"Membres de la commission de suivi du budget émanant du conseil de l’établissement
Membre
Responsabilité
DIANI Mustapha
Doyen
JBILOU Mohammed
Vice Doyen de la Formation
OUARDOUZ Mustapha
Vice Doyen de la Recherche et de la coopération
AJDOUR Mounia
Chef du département de Physique
CHABBI Mohamed
Chef du département de Génie Chimique
EL HALIMI Rachid
Chef du département des Mathématiques
BOULAASSAL Hakim
Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim
Chef du département de Génie Électrique
ELAYACHI Ilham
Chef du département de Génie Mécanique
OUCHEN Mohamed
Chef du département de Langue et Communication
HASSANI ZERROUK Mounir
Chef du département des Sciences de la Vie
EL BRAK Mohamed
Chef du département de Génie Informatique
BOUASSAB Abderrahman
Représentant des P.E.S
EL METOUI Mustapha
Représentant des P.E.S
EN-NAIMI El Mokhtar
Représentant des P.E.S
DERFOUFI Soufiane
Représentant des P.H
EL MERZGUIOUI Mhamed
Représentant des P.H
JEBARI HASSANI Khalid
Représentant des P.H
ZANOUNI Mohamed
Représentant des P.H
BOUZID Saida
Représentant des P.A
FIKRI BENBRAHIM Chahinaze
Représentant des P.A
KHALI ISSA Sanae
Représentant des P.A
MAAREF Abdelkader
Représentant des Personnels Administratifs et Techniques"
DÉPARTEMENTS – FST,"GÉNIE INFORMATIQUE
Chef : Pr.EL BRAK Mohamed
Email :
melbrak@uae.ac.ma
GÉNIE CHIMIQUE
Chef : Pr.CHABBI Mohamed
Email :
mchabbi@uae.ac.ma
SCIENCES DE LA TERRE
Chef : Pr.BOULAASSAL Hakim
Email :
h.boulaassal@uae.ac.ma
GÉNIE MÉCANIQUE
Chef : Pr.ELAYACHI Ilham
Email :
i.elayachi@uae.ac.ma
SCIENCES DE LA VIE
Chef : Pr.HASSANI ZERROUK Mounir
Email
: mhassani@uae.ac.ma
GÉNIE ELECTRIQUE
Chef : Pr.HADJ BARAKA Ibrahim
Email :
ihadjbaraka@uae.ac.ma
TEC
Chef : Pr.OUCHEN MOHAMED
Email :
mouchen@uae.ac.ma
PHYSIQUE
Chef  : Pr.AJDOUR Mounia
Email :
majdour@uae.ac.ma
MATHÉMATIQUES
Chef : Pr.EL HALIMI RACHID
Email :
r.elhalimi@uae.ac.ma"
FORMATION INITIALE – FST,"DEUST
Diplôme d’Etudes Universitaire en Sciences et Techniques
LST
Licence Sciences et Techniques
MST
Master Sciences et Techniques
DI
Diplôme d’Ingénieurs d’État
La FST de Tanger a pour mission de dispenser l’enseignement supérieur en formation initiale et en formation continue et de mener tous les travaux de recherche dans les champs disciplinaires relevant notamment des Sciences et Techniques et des sciences de l’ingénieur.
Dans le cadre de  la réforme pédagogique, la FST de Tanger a adopté l’architecture du système  LMD : Licence / Master / Doctorat. Elle prépare et délivre les diplômes:
DEUST
: Diplôme d’Etudes Universitaire en Sciences et Techniques
LST
: Licence sciences et Techniques
MST
: Master  Sciences et Techniques
Diplôme d’Ingénieurs d’État
Doctorat en Sciences et Techniques
En parallèle à ces diplômes la FST est également habilitée à délivrer :
DUT
: Diplôme Universitaire de Technologie"
